City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Port Elizabeth,-33.918,25.5701,58.32,82,88,1.01,ZA,2022-04-15 21:17:56
1,Dubti,11.7361,41.0853,90.01,35,85,10.0,ET,2022-04-15 21:19:23
2,Chapais,49.7834,-74.8492,37.18,65,100,9.44,CA,2022-04-15 21:19:23
3,Punta Arenas,-53.15,-70.9167,50.11,66,20,26.46,CL,2022-04-15 21:19:11
4,Severo-Kurilsk,50.6789,156.125,30.81,79,62,3.27,RU,2022-04-15 21:19:24
5,Asau,46.4333,26.4,54.52,65,93,5.01,RO,2022-04-15 21:19:24
6,Tigil,57.8,158.6667,25.27,94,100,8.57,RU,2022-04-15 21:19:24
7,Albany,42.6001,-73.9662,67.06,21,73,4.0,US,2022-04-15 21:14:44
8,Mao,39.8885,4.2658,54.16,100,0,3.44,ES,2022-04-15 21:19:25
9,Mitu,1.1983,-70.1733,77.27,87,92,1.1,CO,2022-04-15 21:19:25
10,Kahului,20.8947,-156.47,82.42,66,40,24.16,US,2022-04-15 21:19:26
11,Vila Velha,-20.3297,-40.2925,76.95,71,100,14.97,BR,2022-04-15 21:19:26
12,Monrovia,6.3005,-10.7969,80.37,85,100,7.99,LR,2022-04-15 21:16:01
13,Cape Town,-33.9258,18.4232,59.11,65,0,14.97,ZA,2022-04-15 21:15:42
14,Cabo San Lucas,22.8909,-109.9124,86.61,32,40,6.91,MX,2022-04-15 21:14:38
15,Port Blair,11.6667,92.75,77.04,94,20,2.3,IN,2022-04-15 21:19:27
16,Staraya Toropa,56.2801,31.6702,35.02,83,100,10.94,RU,2022-04-15 21:19:27
17,Mataura,-46.1927,168.8643,55.47,81,99,13.33,NZ,2022-04-15 21:19:27
18,Hobart,-42.8794,147.3294,51.66,78,75,1.14,AU,2022-04-15 21:18:28
19,Ca Mau,9.1769,105.15,78.82,89,72,3.49,VN,2022-04-15 21:19:28
20,Tacuarembo,-31.7333,-55.9833,63.1,66,1,6.46,UY,2022-04-15 21:19:28
21,Ribeira Grande,38.5167,-28.7,60.35,69,100,12.71,PT,2022-04-15 21:19:28
22,Natal,-5.795,-35.2094,83.05,78,20,10.36,BR,2022-04-15 21:19:29
23,Dikson,73.5069,80.5464,16.74,96,100,7.94,RU,2022-04-15 21:19:29
24,Hofn,64.2539,-15.2082,45.05,94,47,0.89,IS,2022-04-15 21:19:29
25,Brindisi,40.5833,17.6667,60.78,53,87,6.4,IT,2022-04-15 21:19:30
26,Dunedin,-45.8742,170.5036,57.79,77,73,14.0,NZ,2022-04-15 21:19:30
27,Mar Del Plata,-38.0023,-57.5575,64.09,86,0,20.0,AR,2022-04-15 21:18:17
28,Cidreira,-30.1811,-50.2056,64.8,65,31,8.93,BR,2022-04-15 21:19:30
29,Antalaha,-14.9003,50.2788,75.34,91,53,7.52,MG,2022-04-15 21:19:31
30,Raga,8.4596,25.678,77.4,68,100,7.83,SS,2022-04-15 21:14:40
31,Yellowknife,62.456,-114.3525,21.72,45,75,4.61,CA,2022-04-15 21:19:31
32,Alofi,-19.0595,-169.9187,84.09,74,57,4.61,NU,2022-04-15 21:19:31
33,Coquimbo,-29.9533,-71.3436,62.33,63,20,12.66,CL,2022-04-15 21:19:32
34,Barrow,71.2906,-156.7887,3.22,78,0,28.77,US,2022-04-15 21:19:32
35,Chama,47.1821,8.4636,59.16,77,75,1.14,CH,2022-04-15 21:19:33
36,Lander,42.833,-108.7307,45.41,47,100,11.5,US,2022-04-15 21:19:33
37,Hermanus,-34.4187,19.2345,52.81,66,74,14.72,ZA,2022-04-15 21:19:33
38,Faya,18.3851,42.4509,66.31,40,92,0.69,SA,2022-04-15 21:19:33
39,Chumikan,54.7183,135.315,26.51,94,100,14.2,RU,2022-04-15 21:19:34
40,Shache,38.4167,77.2406,62.28,24,17,6.2,CN,2022-04-15 21:19:34
41,Bubaque,11.2833,-15.8333,74.44,75,6,18.34,GW,2022-04-15 21:19:34
42,Bluff,-46.6,168.3333,55.8,65,47,34.52,NZ,2022-04-15 21:19:35
43,Rikitea,-23.1203,-134.9692,77.63,71,1,16.69,PF,2022-04-15 21:19:15
44,Ushuaia,-54.8,-68.3,47.86,71,75,14.97,AR,2022-04-15 21:19:35
45,Lewistown,40.5992,-77.5714,71.17,56,0,18.41,US,2022-04-15 21:19:35
46,East London,-33.0153,27.9116,62.04,65,100,13.06,ZA,2022-04-15 21:19:22
47,Gao,16.6362,1.637,88.03,9,16,11.36,ML,2022-04-15 21:20:36
48,Jamestown,42.097,-79.2353,63.52,27,75,16.11,US,2022-04-15 21:15:45
49,Camopi,3.1655,-52.3158,77.74,84,100,3.31,GF,2022-04-15 21:20:36
50,Castro,-24.7911,-50.0119,55.22,65,0,4.21,BR,2022-04-15 21:20:37
51,Luderitz,-26.6481,15.1594,58.55,70,0,18.05,NA,2022-04-15 21:20:37
52,Peabiru,-23.9128,-52.3431,63.36,69,0,3.67,BR,2022-04-15 21:20:37
53,Sola,-13.8833,167.55,81.43,72,100,3.44,VU,2022-04-15 21:20:38
54,Hilo,19.7297,-155.09,82.27,84,100,4.0,US,2022-04-15 21:18:23
55,Bengkulu,-3.8004,102.2655,76.95,88,100,3.47,ID,2022-04-15 21:16:38
56,Katherine,-14.4667,132.2667,73.72,83,40,3.44,AU,2022-04-15 21:20:38
57,Saskylakh,71.9167,114.0833,-17.55,100,93,6.38,RU,2022-04-15 21:20:39
58,New Norfolk,-42.7826,147.0587,51.3,68,93,1.48,AU,2022-04-15 21:20:39
59,Pilar,-9.5972,-35.9567,80.53,73,77,12.12,BR,2022-04-15 21:15:44
60,Palmer,42.1584,-72.3287,67.62,18,40,14.97,US,2022-04-15 21:19:12
61,Komsomolskiy,40.4272,71.7189,63.32,48,2,9.22,UZ,2022-04-15 21:20:40
62,Gresham,45.4982,-122.4315,53.78,54,0,5.99,US,2022-04-15 21:20:40
63,Buala,-8.145,159.5921,77.34,87,100,1.41,SB,2022-04-15 21:20:40
64,Bambous Virieux,-20.3428,57.7575,77.25,78,75,14.97,MU,2022-04-15 21:20:41
65,Leningradskiy,69.3833,178.4167,11.95,90,100,9.91,RU,2022-04-15 21:20:41
66,Saint George,37.1041,-113.5841,76.78,15,0,9.22,US,2022-04-15 21:16:04
67,Yekaterinoslavka,50.3734,129.1139,33.24,97,93,11.14,RU,2022-04-15 21:20:41
68,Lichinga,-13.3128,35.2406,64.49,88,75,5.75,MZ,2022-04-15 21:20:42
69,La Ronge,55.1001,-105.2842,28.62,31,75,3.44,CA,2022-04-15 21:20:42
70,Hovd,48.0056,91.6419,31.17,34,0,6.04,MN,2022-04-15 21:20:42
71,Terney,45.0503,136.6092,36.25,71,1,2.64,RU,2022-04-15 21:20:43
72,Chipata,-13.6333,32.65,63.99,95,16,4.61,ZM,2022-04-15 21:20:43
73,Bredasdorp,-34.5322,20.0403,57.85,64,96,11.48,ZA,2022-04-15 21:20:43
74,Klaksvik,62.2266,-6.589,50.92,98,100,13.27,FO,2022-04-15 21:16:25
75,Malacacheta,-17.8422,-42.0767,69.93,94,55,3.24,BR,2022-04-15 21:20:44
76,Thompson,55.7435,-97.8558,24.96,39,100,13.8,CA,2022-04-15 21:20:44
77,Meulaboh,4.1363,96.1285,77.11,88,85,3.29,ID,2022-04-15 21:16:40
78,Goderich,43.7501,-81.7165,45.91,65,100,18.41,CA,2022-04-15 21:20:44
79,Mareeba,-17.0,145.4333,69.44,88,90,2.24,AU,2022-04-15 21:20:45
80,Segou,13.4317,-6.2157,90.77,34,83,8.37,ML,2022-04-15 21:20:45
81,Iqaluit,63.7506,-68.5145,8.33,71,20,15.01,CA,2022-04-15 21:16:23
82,Grindavik,63.8424,-22.4338,46.87,100,100,35.68,IS,2022-04-15 21:20:45
83,Young,-32.6833,-57.6333,60.84,68,0,5.37,UY,2022-04-15 21:20:46
84,Puerto Escondido,15.85,-97.0667,88.63,62,40,10.36,MX,2022-04-15 21:19:09
85,Ixtapa,20.7,-105.2,78.03,73,75,13.8,MX,2022-04-15 21:20:46
86,Nikolskoye,59.7035,30.7861,38.88,89,94,10.96,RU,2022-04-15 21:20:47
87,Vila,42.0304,-8.1588,53.71,71,94,1.77,PT,2022-04-15 21:20:47
88,Warrington,53.3925,-2.5802,58.33,80,0,6.91,GB,2022-04-15 21:20:47
89,Gornopravdinsk,60.05,69.9,46.4,81,100,8.08,RU,2022-04-15 21:21:47
90,Cortez,37.3489,-108.5859,65.16,17,0,18.41,US,2022-04-15 21:21:48
91,Skjervoy,70.0311,20.9714,33.8,71,98,10.13,NO,2022-04-15 21:21:48
92,Denia,38.8408,0.1057,66.47,64,4,5.01,ES,2022-04-15 21:21:48
93,Vaini,-21.2,-175.2,82.56,74,20,8.05,TO,2022-04-15 21:21:49
94,Ostrovnoy,68.0531,39.5131,29.41,89,80,13.38,RU,2022-04-15 21:21:49
95,Mehamn,71.0357,27.8492,35.65,98,100,27.4,NO,2022-04-15 21:21:49
96,Montlucon,46.3333,2.6,53.71,81,7,3.33,FR,2022-04-15 21:21:50
97,Tiksi,71.6872,128.8694,-5.89,100,100,3.94,RU,2022-04-15 21:19:21
98,Upernavik,72.7868,-56.1549,-6.02,94,9,9.93,GL,2022-04-15 21:21:50
99,Rio Grande,-32.035,-52.0986,66.31,56,48,12.12,BR,2022-04-15 21:21:51
100,Kaeo,-35.1,173.7833,61.32,88,78,5.23,NZ,2022-04-15 21:21:51
101,Nome,64.5011,-165.4064,34.11,80,100,23.02,US,2022-04-15 21:19:25
102,Kavieng,-2.5744,150.7967,81.79,79,38,9.1,PG,2022-04-15 21:21:51
103,Biak,-0.9131,122.8766,76.91,83,96,2.42,ID,2022-04-15 21:17:21
104,Mackay,-21.15,149.2,69.67,72,0,11.21,AU,2022-04-15 21:19:14
105,Progreso,21.2833,-89.6667,98.71,71,39,20.62,MX,2022-04-15 21:21:52
106,Puerto Ayora,-0.7393,-90.3518,78.76,81,91,10.47,EC,2022-04-15 21:19:13
107,Avarua,-21.2078,-159.775,78.85,89,75,3.44,CK,2022-04-15 21:21:52
108,Eydhafushi,5.1033,73.0708,83.95,73,99,7.63,MV,2022-04-15 21:21:53
109,Longyearbyen,78.2186,15.6401,26.44,86,100,11.5,SJ,2022-04-15 21:21:53
110,Ponta Do Sol,32.6667,-17.1,67.01,65,100,3.02,PT,2022-04-15 21:21:53
111,San Cristobal,7.7669,-72.225,77.18,54,100,4.92,VE,2022-04-15 21:21:53
112,Dwarka,22.2394,68.9678,79.57,81,0,12.77,IN,2022-04-15 21:19:57
113,Nelson Bay,-32.7167,152.15,62.01,96,97,2.51,AU,2022-04-15 21:21:54
114,Santa Marta,11.2408,-74.199,83.77,75,85,19.8,CO,2022-04-15 21:21:54
115,Namibe,-15.1961,12.1522,71.67,76,79,4.56,AO,2022-04-15 21:21:54
116,Salalah,17.0151,54.0924,80.69,83,40,1.14,OM,2022-04-15 21:21:55
117,Galle,6.0367,80.217,80.58,80,8,2.95,LK,2022-04-15 21:21:55
118,Sulangan,11.1373,123.7228,81.9,73,98,7.56,PH,2022-04-15 21:21:55
119,Chokurdakh,70.6333,147.9167,8.83,95,100,4.09,RU,2022-04-15 21:21:56
120,Mahanoro,-19.9,48.8,74.03,92,20,2.91,MG,2022-04-15 21:21:56
121,Khatanga,71.9667,102.5,16.97,83,100,13.98,RU,2022-04-15 21:21:56
122,Port Alfred,-33.5906,26.891,60.75,66,95,9.37,ZA,2022-04-15 21:21:57
123,Busselton,-33.65,115.3333,58.26,92,16,6.69,AU,2022-04-15 21:19:18
124,Atuona,-9.8,-139.0333,78.85,78,16,15.64,PF,2022-04-15 21:21:57
125,Berlevag,70.8578,29.0864,35.4,97,100,27.89,NO,2022-04-15 21:21:57
126,Praia Da Vitoria,38.7333,-27.0667,62.85,77,20,7.96,PT,2022-04-15 21:21:58
127,Balkhash,46.844,74.9804,48.63,35,0,12.46,KZ,2022-04-15 21:21:58
128,Korla,41.7597,86.1469,49.06,14,0,3.42,CN,2022-04-15 21:21:58
129,Oeiras,-7.0253,-42.1311,80.73,71,43,4.34,BR,2022-04-15 21:21:59
130,Katsuura,35.1333,140.3,50.36,87,100,24.61,JP,2022-04-15 21:21:59
131,Bathsheba,13.2167,-59.5167,83.01,69,20,19.57,BB,2022-04-15 21:21:59
132,Olden,61.8364,6.8064,45.34,90,100,7.47,NO,2022-04-15 21:22:00
133,Westport,41.1415,-73.3579,69.44,32,0,16.11,US,2022-04-15 21:21:55
134,Denizli,37.8402,29.0698,57.58,41,4,1.97,TR,2022-04-15 21:22:00
135,Bondo,3.8146,23.6866,69.37,91,95,1.45,CD,2022-04-15 21:22:00
136,Cherskiy,68.75,161.3,12.11,96,97,2.26,RU,2022-04-15 21:23:01
137,Kloulklubed,7.0419,134.2556,77.5,78,89,6.22,PW,2022-04-15 21:23:01
138,Basco,20.4487,121.9702,76.12,77,91,23.71,PH,2022-04-15 21:23:01
139,Kutum,14.2,24.6667,76.14,9,60,8.93,SD,2022-04-15 21:23:02
140,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,77.07,87,100,0.36,BR,2022-04-15 21:23:02
141,Boende,-0.2167,20.8667,70.83,97,100,1.52,CD,2022-04-15 21:23:02
142,Butaritari,3.0707,172.7902,81.1,74,80,9.4,KI,2022-04-15 21:23:03
143,Humberto De Campos,-2.5983,-43.4611,77.22,92,100,5.19,BR,2022-04-15 21:23:03
144,Geraldton,-28.7667,114.6,59.41,94,0,4.61,AU,2022-04-15 21:23:04
145,Qaanaaq,77.484,-69.3632,-2.04,93,100,7.45,GL,2022-04-15 21:23:04
146,Krasnogorodsk,56.8357,28.2822,35.28,85,96,11.52,RU,2022-04-15 21:23:04
147,Avera,33.194,-82.5271,78.55,35,3,10.02,US,2022-04-15 21:23:05
148,Palaia Fokaia,37.72,23.9463,62.76,54,100,6.13,GR,2022-04-15 21:23:05
149,Adrar,20.5022,-10.0711,81.84,11,16,4.38,MR,2022-04-15 21:23:05
150,Brainerd,46.358,-94.2008,26.85,50,100,17.27,US,2022-04-15 21:23:06
151,Georgetown,5.4112,100.3354,80.55,89,40,3.44,MY,2022-04-15 21:23:06
152,Nemuro,43.3236,145.575,33.62,89,100,19.86,JP,2022-04-15 21:23:06
153,Araguaina,-7.1911,-48.2072,78.55,84,50,5.41,BR,2022-04-15 21:23:07
154,Stromness,58.965,-3.296,45.88,92,100,8.01,GB,2022-04-15 21:23:07
155,Tuktoyaktuk,69.4541,-133.0374,-7.6,84,40,2.3,CA,2022-04-15 21:23:08
156,Saint-Philippe,-21.3585,55.7679,74.79,88,48,13.24,RE,2022-04-15 21:20:28
157,Antofagasta,-23.65,-70.4,63.68,74,5,8.28,CL,2022-04-15 21:23:08
158,Nipawin,53.3668,-104.0009,28.44,37,0,10.36,CA,2022-04-15 21:23:09
159,Ligayan,4.6533,119.4706,81.91,77,45,9.82,PH,2022-04-15 21:23:09
160,Touros,-5.1989,-35.4608,80.62,81,16,10.04,BR,2022-04-15 21:23:09
161,Guerrero Negro,27.9769,-114.0611,65.84,57,100,17.54,MX,2022-04-15 21:23:10
162,Taoudenni,22.6783,-3.9836,81.45,15,0,10.38,ML,2022-04-15 21:23:10
163,Honiara,-9.4333,159.95,77.72,87,100,1.45,SB,2022-04-15 21:23:11
164,Bessonovka,53.3097,45.0407,42.49,67,67,3.11,RU,2022-04-15 21:23:11
165,Brzesko,49.9691,20.6061,50.59,85,99,4.0,PL,2022-04-15 21:23:11
166,Chuy,-33.6971,-53.4616,63.9,68,58,7.2,UY,2022-04-15 21:23:12
167,Clyde River,70.4692,-68.5914,-3.77,77,0,12.66,CA,2022-04-15 21:23:12
168,Tasiilaq,65.6145,-37.6368,37.56,98,100,8.77,GL,2022-04-15 21:23:13
169,Nuuk,64.1835,-51.7216,20.88,62,36,25.99,GL,2022-04-15 21:23:13
170,Flin Flon,54.7682,-101.865,26.44,28,100,13.8,CA,2022-04-15 21:23:13
171,Talcahuano,-36.7167,-73.1167,56.88,67,100,1.14,CL,2022-04-15 21:19:20
172,Kulhudhuffushi,6.6221,73.07,84.04,72,40,8.7,MV,2022-04-15 21:21:19
173,Mahebourg,-20.4081,57.7,77.29,78,75,14.97,MU,2022-04-15 21:20:32
174,Opuwo,-18.0607,13.84,72.48,42,63,3.74,NA,2022-04-15 21:21:23
175,Ambon,-3.6954,128.1814,77.14,88,20,9.22,ID,2022-04-15 21:23:14
176,Muros,42.7762,-9.0603,57.69,81,32,3.87,ES,2022-04-15 21:23:14
177,Makasar,-5.14,119.4221,75.25,100,40,2.3,ID,2022-04-15 21:23:15
178,Samarai,-10.6167,150.6667,82.0,75,96,8.08,PG,2022-04-15 21:23:15
179,Cayenne,4.9333,-52.3333,82.09,1,75,10.36,GF,2022-04-15 21:23:03
180,Hami,42.8,93.45,45.57,35,66,7.96,CN,2022-04-15 21:20:24
181,Port Lincoln,-34.7333,135.8667,65.28,83,0,7.54,AU,2022-04-15 21:24:16
182,Kavaratti,10.5669,72.642,82.83,74,22,2.51,IN,2022-04-15 21:24:16
183,Annau,37.8876,58.516,60.3,59,75,6.91,TM,2022-04-15 21:24:17
184,High Rock,26.6208,-78.2833,73.42,81,100,18.41,BS,2022-04-15 21:24:17
185,Kapaa,22.0752,-159.319,80.58,72,75,17.27,US,2022-04-15 21:21:40
186,Vanavara,60.34,102.2797,31.42,98,100,1.66,RU,2022-04-15 21:24:17
187,Vylkove,45.4021,29.586,52.79,60,58,12.35,UA,2022-04-15 21:24:18
188,Denpasar,-8.65,115.2167,80.26,94,40,2.3,ID,2022-04-15 21:21:25
189,Popondetta,-8.7537,148.2534,75.24,86,76,2.66,PG,2022-04-15 21:24:18
190,Sao Felix Do Xingu,-6.6447,-51.995,76.55,94,100,1.21,BR,2022-04-15 21:21:19
191,Ancud,-41.8697,-73.8203,61.23,81,37,5.73,CL,2022-04-15 21:20:27
192,Butembo,0.15,29.2833,56.39,99,80,2.48,CD,2022-04-15 21:24:19
193,Bethel,41.3712,-73.414,69.37,24,0,12.66,US,2022-04-15 21:24:19
194,Vardo,70.3705,31.1107,34.77,95,100,19.04,NO,2022-04-15 21:24:19
195,Ilulissat,69.2167,-51.1,14.02,57,75,6.91,GL,2022-04-15 21:22:57
196,Tateyama,34.9833,139.8667,50.09,84,100,19.26,JP,2022-04-15 21:24:20
197,Aviles,43.5547,-5.9248,59.38,89,75,5.01,ES,2022-04-15 21:24:20
198,Karratha,-20.7377,116.8463,83.03,70,72,3.2,AU,2022-04-15 21:24:20
199,Saldanha,-33.0117,17.9442,57.25,59,6,19.35,ZA,2022-04-15 21:24:21
200,Carnarvon,-24.8667,113.6333,69.87,83,49,5.75,AU,2022-04-15 21:24:21
201,Mirabad,30.4362,61.8383,87.06,10,82,7.94,AF,2022-04-15 21:24:21
202,Hasaki,35.7333,140.8333,46.8,87,100,33.04,JP,2022-04-15 21:20:27
203,Varazdin,46.3044,16.3378,50.9,90,77,2.42,HR,2022-04-15 21:24:22
204,Sioux Lookout,50.1001,-91.917,19.47,63,100,17.27,CA,2022-04-15 21:24:22
205,Saint-Joseph,-21.3667,55.6167,73.78,84,37,12.97,RE,2022-04-15 21:24:22
206,Aloleng,16.1307,119.7824,80.37,70,100,5.66,PH,2022-04-15 21:24:23
207,Hualmay,-11.0964,-77.6139,70.79,74,22,13.98,PE,2022-04-15 21:24:23
208,Ashqelon,31.6693,34.5715,60.69,72,88,6.42,IL,2022-04-15 21:24:23
209,Tel Aviv-Yafo,32.0805,34.7805,60.98,72,0,5.75,IL,2022-04-15 21:24:24
210,Inhambane,-23.865,35.3833,75.81,94,93,0.54,MZ,2022-04-15 21:24:24
211,Kintampo,8.0563,-1.7306,82.63,61,52,5.99,GH,2022-04-15 21:24:24
212,Kitangari,-10.65,39.3333,70.68,99,77,4.83,TZ,2022-04-15 21:24:25
213,Pampas,-12.4,-74.9,61.63,57,86,8.08,PE,2022-04-15 21:24:25
214,Kaitangata,-46.2817,169.8464,51.26,85,74,15.14,NZ,2022-04-15 21:22:49
215,Camacha,33.0833,-16.3333,58.42,88,20,12.66,PT,2022-04-15 21:24:26
216,Narsaq,60.9167,-46.05,32.22,66,71,3.09,GL,2022-04-15 21:24:26
217,Cooma,-36.2333,149.1333,42.57,100,40,1.14,AU,2022-04-15 21:24:26
218,Yamada,39.4667,141.95,36.95,95,100,13.44,JP,2022-04-15 21:24:26
219,Hithadhoo,-0.6,73.0833,82.8,67,88,1.57,MV,2022-04-15 21:24:27
220,Norman Wells,65.282,-126.8329,12.24,52,75,13.8,CA,2022-04-15 21:24:27
221,Yichun,47.7,128.9,35.06,61,100,3.71,CN,2022-04-15 21:24:27
222,Melfort,52.8667,-104.6177,23.13,36,100,7.99,CA,2022-04-15 21:24:28
223,Urucara,-2.5364,-57.76,76.57,96,100,2.64,BR,2022-04-15 21:24:28
224,Msanga,-6.05,36.0333,64.9,96,94,4.05,TZ,2022-04-15 21:24:28
225,Ambilobe,-13.2,49.05,75.42,81,75,4.59,MG,2022-04-15 21:24:29
226,Mercedes,-34.6515,-59.4307,65.86,44,0,6.49,AR,2022-04-15 21:24:29
227,Moindou,-21.6924,165.677,74.43,82,58,4.59,NC,2022-04-15 21:25:29
228,Tyup,42.7276,78.3648,45.39,55,0,1.88,KG,2022-04-15 21:25:30
229,Faanui,-16.4833,-151.75,82.0,72,3,17.63,PF,2022-04-15 21:25:30
230,Laguna,38.421,-121.4238,72.32,47,0,10.36,US,2022-04-15 21:25:13
231,Maracas,-13.4411,-40.4308,77.13,56,95,2.17,BR,2022-04-15 21:25:30
232,Lucapa,-8.4192,20.7447,67.28,96,100,0.89,AO,2022-04-15 21:25:31
233,Lebu,-37.6167,-73.65,57.24,77,8,12.39,CL,2022-04-15 21:25:31
234,Makakilo City,21.3469,-158.0858,80.92,50,100,17.27,US,2022-04-15 21:23:00
235,Haines Junction,60.7522,-137.5108,37.35,30,2,6.91,CA,2022-04-15 21:25:31
236,Sauda,59.6506,6.3542,43.68,84,100,3.87,NO,2022-04-15 21:25:32
237,Riyadh,24.6877,46.7219,82.54,26,94,8.66,SA,2022-04-15 21:21:25
238,Torbay,47.6666,-52.7314,43.57,58,40,10.36,CA,2022-04-15 21:23:36
239,Bihar,47.15,21.9167,54.1,67,20,2.3,RO,2022-04-15 21:25:32
240,Lagoa,39.05,-27.9833,58.86,76,100,15.41,PT,2022-04-15 21:22:56
241,Constitucion,-35.3333,-72.4167,58.01,74,1,8.1,CL,2022-04-15 21:25:33
242,Bodden Town,19.2833,-81.25,86.0,67,20,11.5,KY,2022-04-15 21:25:33
243,Twentynine Palms,34.1356,-116.0542,80.15,16,61,5.01,US,2022-04-15 21:25:33
244,Kalispell,48.1958,-114.3129,36.28,47,0,5.75,US,2022-04-15 21:21:06
245,Inirida,3.8653,-67.9239,79.81,88,94,0.96,CO,2022-04-15 21:23:09
246,Comodoro Rivadavia,-45.8667,-67.5,71.46,33,0,23.02,AR,2022-04-15 21:25:34
247,Obo,5.3998,26.4869,70.52,87,100,3.13,CF,2022-04-15 21:25:34
248,Isangel,-19.55,169.2667,82.51,78,79,5.75,VU,2022-04-15 21:25:34
249,Udachnyy,66.4167,112.4,-13.77,100,100,4.45,RU,2022-04-15 21:25:35
250,Craig,40.5153,-107.5464,57.15,26,0,29.93,US,2022-04-15 21:25:35
251,Savannakhet,16.566,104.751,79.75,68,6,3.2,LA,2022-04-15 21:25:35
252,Adelaide,-34.9333,138.6,65.05,78,1,7.0,AU,2022-04-15 21:25:36
253,Impfondo,1.6381,18.0667,71.67,90,94,1.28,CG,2022-04-15 21:25:36
254,Vostok,46.4856,135.8833,26.94,79,86,4.97,RU,2022-04-15 21:25:36
255,Kamenka,51.3223,42.7678,45.93,68,94,4.81,RU,2022-04-15 21:25:37
256,Carballo,43.213,-8.691,57.54,95,13,1.81,ES,2022-04-15 21:25:37
257,Kiama,-34.6833,150.8667,60.58,90,99,1.99,AU,2022-04-15 21:25:37
258,Kingston,17.997,-76.7936,90.25,64,20,24.16,JM,2022-04-15 21:22:00
259,Aklavik,68.2191,-135.0107,4.14,79,95,4.83,CA,2022-04-15 21:25:38
260,Caucaia,-3.7361,-38.6531,83.03,73,20,9.22,BR,2022-04-15 21:25:38
261,Pangnirtung,66.1451,-65.7125,-0.4,71,0,4.61,CA,2022-04-15 21:24:06
262,Aswan,24.0934,32.907,79.99,8,0,9.8,EG,2022-04-15 21:25:39
263,Felanitx,39.4696,3.1483,58.95,81,28,4.81,ES,2022-04-15 21:25:39
264,Victoria,22.2855,114.1577,73.33,78,97,18.01,HK,2022-04-15 21:24:50
265,Bairnsdale,-37.8333,147.6167,56.28,81,86,3.38,AU,2022-04-15 21:21:23
266,Upata,8.0086,-62.3989,84.07,54,96,7.4,VE,2022-04-15 21:25:39
267,Amapa,1.0,-52.0,75.88,95,100,1.92,BR,2022-04-15 21:25:40
268,Lorengau,-2.0226,147.2712,81.54,78,52,4.85,PG,2022-04-15 21:25:40
269,Husavik,66.0449,-17.3389,42.22,80,100,13.69,IS,2022-04-15 21:25:40
270,Kununurra,-15.7667,128.7333,75.18,94,19,4.61,AU,2022-04-15 21:25:41
271,Cehegin,38.0924,-1.7985,59.5,61,1,3.31,ES,2022-04-15 21:26:41
272,Namatanai,-3.6667,152.4333,80.4,81,40,5.61,PG,2022-04-15 21:26:42
273,Olafsvik,64.8945,-23.7142,45.99,86,100,30.98,IS,2022-04-15 21:26:42
274,Necochea,-38.5473,-58.7368,62.38,61,0,8.25,AR,2022-04-15 21:23:41
275,Esperance,-33.8667,121.9,55.24,78,23,11.01,AU,2022-04-15 21:26:42
276,Naruja,41.9069,41.9542,43.12,81,13,3.4,GE,2022-04-15 21:26:43
277,Hay River,60.8156,-115.7999,21.16,68,75,10.36,CA,2022-04-15 21:26:43
278,Conselheiro Lafaiete,-20.6603,-43.7861,62.1,88,85,7.16,BR,2022-04-15 21:24:16
279,Walvis Bay,-22.9575,14.5053,58.15,82,0,2.3,NA,2022-04-15 21:26:43
280,Sabang,5.8933,95.3214,83.32,72,98,4.68,ID,2022-04-15 21:26:44
281,Umm Lajj,25.0213,37.2685,76.37,53,0,5.82,SA,2022-04-15 21:26:31
